alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.15,0.11,0.0003721010,0.0000533000,0.0,resume_from_csv
0.15,0.12,0.0003546374,0.0000524564,0.0,resume_from_csv
0.15,0.13,0.0003395450,0.0000493361,0.0,resume_from_csv
0.15,0.14,0.0002992825,0.0000507048,0.0,resume_from_csv
0.15,0.15,0.0002858479,0.0000412353,0.0,resume_from_csv
0.15,0.16,0.0003165913,0.0000488564,0.0,resume_from_csv
0.15,0.17,0.0003714070,0.0000570247,0.0,resume_from_csv
0.15,0.18,0.0001612583,0.0000352982,0.0,resume_from_csv
0.15,0.19,0.0001397752,0.0000295941,0.0,resume_from_csv
0.15,0.2,0.0001346375,0.0000294561,0.0,resume_from_csv
0.15,0.21,0.0001298519,0.0000307391,0.0,resume_from_csv
0.15,0.22,0.0003798801,0.0000582802,0.0,resume_from_csv
0.15,0.23,0.0001958032,0.0000305169,0.0,resume_from_csv
0.15,0.24,0.0001184785,0.0000290373,0.0,resume_from_csv
0.15,0.25,0.0008865309,0.0000898536,0.0,resume_from_csv
0.15,0.26,0.0001078716,0.0000256855,0.0,resume_from_csv
0.15,0.27,0.0001569803,0.0000277252,0.0,resume_from_csv
0.15,0.28,0.0001258122,0.0000253371,0.0,resume_from_csv
0.15,0.29,0.0001367920,0.0000271218,0.0,resume_from_csv
0.15,0.3,0.0001095289,0.0000237322,0.0,resume_from_csv
0.15,0.31,0.0002481643,0.0000274014,0.0,resume_from_csv
0.15,0.32,0.0001017395,0.0000237867,0.0,resume_from_csv
0.15,0.33,0.0000830013,0.0000217460,0.0,resume_from_csv
0.15,0.34,0.0000984766,0.0000223896,0.0,resume_from_csv
0.15,0.35,0.0000870928,0.0000217727,0.0,resume_from_csv
0.15,0.36,0.0000854044,0.0000201555,0.0,resume_from_csv
0.15,0.37,0.0000912154,0.0000203322,0.0,resume_from_csv
0.15,0.38,0.0000995228,0.0000199773,0.0,resume_from_csv
0.15,0.39,0.0001073847,0.0000202973,0.0,resume_from_csv
0.15,0.4,0.0001048987,0.0000196405,0.0,resume_from_csv
0.15,0.41,0.0000770556,0.0000181576,0.0,resume_from_csv
0.15,0.42,0.0000928313,0.0000186431,0.0,resume_from_csv
0.15,0.43,0.0001232433,0.0000191561,0.0,resume_from_csv
0.15,0.44,0.0000746317,0.0000161110,0.0,resume_from_csv
0.15,0.45,0.0000741656,0.0000156022,0.0,resume_from_csv
0.15,0.46,0.0000733266,0.0000148412,0.0,resume_from_csv
0.15,0.47,0.0000721147,0.0000144331,0.0,resume_from_csv
0.15,0.48,0.0000705299,0.0000139912,0.0,resume_from_csv
0.15,0.49,0.0000686343,0.0000135578,0.0,resume_from_csv
0.15,0.5,0.0000665005,0.0000131823,0.0,resume_from_csv
0.15,0.51,0.0000642009,0.0000128340,0.0,resume_from_csv
0.15,0.52,0.0000623882,0.0000124849,0.0,resume_from_csv
0.15,0.53,0.0000614352,0.0000121406,0.0,resume_from_csv
0.15,0.54,0.0000604408,0.0000118011,0.0,resume_from_csv
0.15,0.55,0.0000594154,0.0000116175,0.0,resume_from_csv
0.15,0.56,0.0000584210,0.0000112070,0.0,resume_from_csv
0.15,0.57,0.0000574369,0.0000114751,0.0,resume_from_csv
0.15,0.58,0.0000564633,0.0000115350,0.0,resume_from_csv
0.15,0.59,0.0000934735,0.0000114848,0.0,resume_from_csv
0.15,0.6,0.0000739377,0.0000120039,0.0,resume_from_csv
0.15,0.61,0.0000896099,0.0000114845,0.0,resume_from_csv
0.15,0.62,0.0000744764,0.0000102880,0.0,resume_from_csv
0.15,0.63,0.0000695769,0.0000102263,0.0,resume_from_csv
0.15,0.64,0.0000491917,0.0000098775,0.0,resume_from_csv
0.15,0.65,0.0001504960,0.0000161955,0.0,resume_from_csv
0.15,0.66,0.0003412024,0.0000287189,0.0,resume_from_csv
0.15,0.67,0.0003919578,0.0000330546,0.0,resume_from_csv
0.15,0.68,0.0004789363,0.0000362092,0.0,resume_from_csv
0.15,0.69,0.0001255325,0.0000144567,0.0,resume_from_csv
0.15,0.7,0.0002420324,0.0000202207,0.0,resume_from_csv
0.15,0.71,0.0001633196,0.0000174764,0.0,resume_from_csv
0.15,0.72,0.0002620341,0.0000239731,0.0,resume_from_csv
0.15,0.73,0.0007141502,0.0000486498,0.0,resume_from_csv
0.15,0.74,0.0002401056,0.0000232035,0.0,resume_from_csv
0.15,0.75,0.0001556855,0.0000163790,0.0,resume_from_csv
0.15,0.76,0.0000913811,0.0000123014,0.0,resume_from_csv
0.15,0.77,0.0002991374,0.0000230994,0.0,resume_from_csv
0.15,0.78,0.0003256339,0.0000226560,0.0,resume_from_csv
0.15,0.79,0.0000835088,0.0000101682,0.0,resume_from_csv
0.15,0.8,0.0002745883,0.0000233611,0.0,resume_from_csv
0.15,0.81,0.0001017084,0.0000121640,0.0,resume_from_csv
0.15,0.82,0.0001199494,0.0000108991,0.0,resume_from_csv
0.15,0.83,0.0003691075,0.0000281827,0.0,resume_from_csv
0.15,0.84,0.0001103265,0.0000090375,0.0,resume_from_csv
0.15,0.85,0.0001078301,0.0000104542,0.0,resume_from_csv
0.15,0.86,0.0000970886,0.0000082430,0.0,resume_from_csv
0.15,0.87,0.0001218760,0.0000111513,0.0,resume_from_csv
0.15,0.88,0.0001254703,0.0000113556,0.0,resume_from_csv
0.15,0.89,0.0000976894,0.0000088475,0.0,resume_from_csv
0.15,0.9,0.0002753238,0.0000174197,0.0,resume_from_csv
0.15,0.91,0.0000611038,0.0000074315,0.0,resume_from_csv
0.15,0.92,0.0000533868,0.0000062933,0.0,resume_from_csv
0.15,0.93,0.0001440117,0.0000091936,0.0,resume_from_csv
0.15,0.94,0.0002426953,0.0000150471,0.0,resume_from_csv
0.15,0.95,0.0001014805,0.0000085469,0.0,resume_from_csv
0.15,0.96,0.0000588871,0.0000066545,0.0,resume_from_csv
0.15,0.97,0.0000604823,0.0000064590,0.0,resume_from_csv
0.15,0.98,0.0000599540,0.0000062298,0.0,resume_from_csv
0.15,0.99,0.0001498434,0.0000108987,0.0,resume_from_csv
0.15,1.0,0.0001709536,0.0000125543,0.0,resume_from_csv
0.2,0.0,0.0003555589,0.0000793107,0.0,resume_from_csv
0.2,0.01,0.0003346250,0.0000705881,0.0,resume_from_csv
